"39,Burna-Boy-23-(JustNaija.com).mp3,afro dancehall,burna_boy_23_justnaijacommp3,bpm=103,key=F,scale=minor,energy=0.710536956787,happy=0.55741186738014,sad=0.88446091413498,aggressiveness=0.051676789484918,danceability=0.9068362288177,relaxed=0.51720082163811"
"40,Eminem_-_Things_Get_Worse_Rihanna_Diss_.mp3,detroit hip hop,eminem_things_get_worse_rihanna_dissmp3,bpm=93,key=D,scale=major,energy=0.282190799713,happy=0.87858273386955,sad=0.31529965624213,aggressiveness=0.46426906734705,danceability=0.99362797141075,relaxed=0.39536516964436"
"41,EO-1Take-Naija-To-London-.mp3,unknown,eo_1take_naija_to_londonmp3,bpm=104,key=G#,scale=minor,energy=0.288159489632,happy=0.50335204304958,sad=0.66496150872924,aggressiveness=0.28037617524916,danceability=0.90964098410173,relaxed=0.56191498853944"
"42,Drake - Blem (Offwhite remix prod. Louis More)SNIPPED.mp3,unknown,drake_blem_offwhite_remix_prod_louis_moresnippedmp3,bpm=100,key=A#,scale=minor,energy=0.165991872549,happy=0.167576695967,sad=0.79541915655136,aggressiveness=0.041290597990155,danceability=0.93464007973671,relaxed=0.82003891468048"
"43,Karol G - Mi Cama.mp3,uk drill,karol_g_mi_camamp3,bpm=163,key=A,scale=minor,energy=0.224004074931,happy=0.84065056840579,sad=0.36754894504944,aggressiveness=0.13075691795287,danceability=0.97780984640121,relaxed=0.4220149020354"
"44,DJ HOMEWRECKR - Complicated Ft. Xander June (DJ MOZES Remix).mp3,uk drill,dj_homewreckr_complicated_ft_xander_june_dj_mozes_remixmp3,bpm=105,key=C,scale=major,energy=0.493450880051,happy=0.42340561960425,sad=0.85216248035431,aggressiveness=0.11261345313064,danceability=0.72232656766261,relaxed=0.70011824369431"
"45,Buju_Banton_ _Blessed_(Official_Audio)_ _Upside_Down_2020(1).mp3,dancehall,buju_banton_blessed_official_audio_upside_down_20201mp3,bpm=99,key=B,scale=minor,energy=0.332050412893,happy=0.67155985272903,sad=0.64848365717464,aggressiveness=0.35579069786602,danceability=0.87904732426008,relaxed=0.59177641073863"
"46,Amara La Negra - What A Bam Bam(New 2018) - ElBachaRengue.Net.mp3,unknown,amara_la_negra_what_a_bam_bamnew_2018_elbacharenguenetmp3,bpm=104,key=F,scale=minor,energy=0.268560051918,happy=0.84679913520813,sad=0.37760049104691,aggressiveness=0.41141547169536,danceability=0.99253004044294,relaxed=0.36223412305117"
"47,JD REID - TOAST.mp3,uk drill,jd_reid_toastmp3,bpm=126,key=A#,scale=minor,energy=0.264980703592,happy=0.70517775339411,sad=0.38703217357397,aggressiveness=0.36608420974678,danceability=0.97116272317039,relaxed=0.4389935500092"
"48,Anderson_.Paak_-_Lockdown_(Lyrics).mp3,escape room,anderson_paak_lockdown_lyricsmp3,bpm=100,key=C#,scale=major,energy=0.37269321084,happy=0.4675502486527,sad=0.7758876234293,aggressiveness=0.10816199313849,danceability=0.88429588675499,relaxed=0.64572440683842"
"49,Drake - Nice For What (Tatoun x Jacks remix).mp3,unknown,drake_nice_for_what_tatoun_x_jacks_remixmp3,bpm=97,key=F,scale=major,energy=0.122028440237,happy=0.73531817893187,sad=0.37475754568974,aggressiveness=0.46529661243161,danceability=0.970598757267,relaxed=0.2864994853735"
"50,MAD GAAL - BEAM.mp3,uk drill,mad_gaal_beammp3,bpm=99.5,key=A#,scale=major,energy=0.201510682702,happy=0.75541025151809,sad=0.47346572329601,aggressiveness=0.21351977313558,danceability=0.99995280305545,relaxed=0.47951093812784"
"51,Geko ft. Maleek Berry & Latifah - Hey Mama [Music Video] _ GRM Daily.mp3,italian disco,geko_ft_maleek_berry_latifah_hey_mama_music_video_grm_dailymp3,bpm=107,key=D,scale=minor,energy=0.253010809422,happy=0.75264474749565,sad=0.54114238917828,aggressiveness=0.30871438123286,danceability=0.99045266509056,relaxed=0.46583137214184"
"52,God's Work (feat. iLL BLU) - IAMDDB..mp3,uk drill,gods_work_feat_ill_blu_iamddbmp3,bpm=107,key=D,scale=minor,energy=0.179350659251,happy=0.92234387993813,sad=0.41993156075478,aggressiveness=0.31529781594872,danceability=0.99970797697703,relaxed=0.40833107133706"
"53,Burna-Boy-Bebo-(JustNaija.com).mp3,afro dancehall,burna_boy_bebo_justnaijacommp3,bpm=108,key=A#,scale=minor,energy=0.3470531106,happy=0.46671887966139,sad=0.73448649474553,aggressiveness=0.11239253889237,danceability=0.90303785034588,relaxed=0.53484256778445"
"54,DJ Freak - Karol G - Mi Cama (EFES Remix).mp3,uk drill,dj_freak_karol_g_mi_cama_efes_remixmp3,bpm=172.5,key=A,scale=minor,energy=0.151967927814,happy=0.69396122438567,sad=0.37032878505332,aggressiveness=0.65201072927032,danceability=0.96731199537005,relaxed=0.3920889709677"
"55,Mr.-Leo-Asabe-Dir.-by-Dr-Nkeng-Stephens.mp3,azontobeats,mr_leo_asabe_dir_by_dr_nkeng_stephensmp3,bpm=112,key=A,scale=minor,energy=0.168647259474,happy=0.87055613994598,sad=0.55585495531559,aggressiveness=0.11702713053674,danceability=0.99996527433395,relaxed=0.57596643269062"
"56,Loyal (feat. Drake and Bad Bunny) (Remix).mp3,unknown,loyal_feat_drake_and_bad_bunny_remixmp3,bpm=139.5,key=F,scale=minor,energy=0.312478810549,happy=0.65167374858477,sad=0.93255058924357,aggressiveness=0.016909054014832,danceability=0.58845453212659,relaxed=0.81013762454192"
"57,Eric Benet Ft. Faith Evans - Georgy Porgy (Tomcio Remix).mp3,uk drill,eric_benet_ft_faith_evans_georgy_porgy_tomcio_remixmp3,bpm=100,key=G,scale=major,energy=0.28071859479,happy=0.65693569289786,sad=0.45010063158614,aggressiveness=0.16699477444802,danceability=0.99996839250837,relaxed=0.43565579397338"
"58,Russ-Ft.-Davido-–-All-I-Want.mp3,unknown,russ_ft_davido_all_i_wantmp3,bpm=117,key=G#,scale=minor,energy=0.237962216139,happy=0.53325712680817,sad=0.72713730931282,aggressiveness=0.1056420898065,danceability=0.82038967907429,relaxed=0.61905126571655"
"59,bad_boy_xtended_version_part2_BEAT_98BPM_C#min.mp3,uk drill,bad_boy_xtended_version_part2_beat_98bpm_cminmp3,bpm=98,key=F#,scale=minor,energy=0.52709197998,happy=0.3240869668397,sad=0.94953748312863,aggressiveness=0.18740552799268,danceability=0.9873526096344,relaxed=0.74341993982142"
"60,FEDE - Santi - Maria ft Goldlink - FEDE REMIX.mp3,uk drill,fede_santi_maria_ft_goldlink_fede_remixmp3,bpm=105,key=A#,scale=minor,energy=0.276503771544,happy=0.38230672531894,sad=0.60406916056361,aggressiveness=0.18730919914586,danceability=0.9994711961065,relaxed=0.5954878457955"
"61,Mr_Eazi_-_Lento_(feat._J_Balvin)_[Official_Dance_Video].mp3,afro dancehall,mr_eazi_lento_feat_j_balvin_official_dance_videomp3,bpm=92,key=A#,scale=minor,energy=0.183584570885,happy=0.53971555456519,sad=0.68551031127572,aggressiveness=0.051865416404326,danceability=0.99999944865704,relaxed=0.71913146972656"
"62,Meek x Le Mav - Pistols ft. Drake.mp3,unknown,meek_x_le_mav_pistols_ft_drakemp3,bpm=88,key=A,scale=minor,energy=0.375461369753,happy=0.36840007524006,sad=0.84839228913188,aggressiveness=0.092610812047496,danceability=0.7939277254045,relaxed=0.65654580667615"
"63,Mr-Eazi-Kpalanga.mp3,afro dancehall,mr_eazi_kpalangamp3,bpm=101,key=A,scale=major,energy=0.184940800071,happy=0.75890401005745,sad=0.69271843135357,aggressiveness=0.21949614211917,danceability=0.91801695028941,relaxed=0.39210560421149"
"64,Miraa May - I Dont Want Ya ( DiDi )Prod By SaLaAM ReMi.mp3,uk drill,miraa_may_i_dont_want_ya_didi_prod_by_salaam_remimp3,bpm=100,key=E,scale=minor,energy=0.28861579299,happy=0.79114467899005,sad=0.61618733406067,aggressiveness=0.024180286253492,danceability=0.99996040927039,relaxed=0.43167675534884"
"65,ODIE - North Face.mp3,uk drill,odie_north_facemp3,bpm=100,key=A#,scale=major,energy=0.262702435255,happy=0.47465944290161,sad=0.89697796106339,aggressiveness=0.035106447816361,danceability=0.85382466309238,relaxed=0.76453740894794"
"66,105_Nana Fofie x Bryan Mg - Desole SHOW2BABI.COM.mp3,unknown,105_nana_fofie_x_bryan_mg_desole_show2babicommp3,bpm=109.5,key=C#,scale=minor,energy=0.256068915129,happy=0.39401647874287,sad=0.94266837835312,aggressiveness=0.051488006221397,danceability=0.58947874818529,relaxed=0.76345025641578"
"67,KAYTRANADA_-_Leave_Me_Alone_(ft._Shay_Lia).mp3,escape room,kaytranada_leave_me_alone_ft_shay_liamp3,bpm=120,key=D#,scale=minor,energy=0.698339223862,happy=0.27154377661645,sad=0.78503644168377,aggressiveness=0.19655003771186,danceability=0.88821357488632,relaxed=0.60218404829502"
"68,Alpha-P-Paloma.mp3,unknown,alpha_p_palomamp3,bpm=111,key=C#,scale=major,energy=0.36578476429,happy=0.63687299564481,sad=0.81266760081053,aggressiveness=0.089718324772548,danceability=0.99990034103394,relaxed=0.65293564647436"
"69,DomDoen - Rody G Remix.mp3,unknown,domdoen_rody_g_remixmp3,bpm=123.5,key=A#,scale=minor,energy=0.240472823381,happy=0.54047979089794,sad=0.57941754162312,aggressiveness=0.20364381352233,danceability=0.8959313498603,relaxed=0.56663426094585"
"70,Fireboy-DML-Scatter.mp3,afro dancehall,fireboy_dml_scattermp3,bpm=120,key=A#,scale=major,energy=0.363731592894,happy=0.51639876088926,sad=0.49198875682695,aggressiveness=0.11274973090206,danceability=0.99999999148505,relaxed=0.47189466868128"
"71,Naza_(ft._Niska)_-_Joli_bébé_(Clip_Officiel).mp3,unknown,naza_ft_niska_joli_bebe_clip_officielmp3,bpm=77.5,key=E,scale=major,energy=0.302083611488,happy=0.5563228556088,sad=0.8409012556076,aggressiveness=0.036287858283945,danceability=0.89906991805349,relaxed=0.83956448520933"
